Stand,Transect,Tree,TransectPart,Xcoord,Ycoord,Projection,Datum,elev_ft,YearEstablished,Elev,Slope,Aspect,GrizPCA,Admin,Num.Trees,LongitudeX,LatitudeY
4175,4175.5,4175.5.51,center,628501,5004587,UTM Zone 12,NAD83,9223,2005,2811,25,3,0,Custer Gallatin,36,-109.3643756,45.18305428
4255,4255.1,4255.1.13,center,469161,4963758,UTM Zone 12,NAD83,8554,2004,2607,25,339,0,Custer Gallatin,54,-111.3901068,44.82656252
4280,4280.1,4280.1.3,center,513932,4963416,UTM Zone 12,NAD83,8449,2004,2575,8,56,1,Yellowstone,7,-110.8237709,44.82401407
4299,4299.1,4299.1.32,center,543748,4962911,UTM Zone 12,NAD83,8747,2004,2666,9,297,1,Yellowstone,21,-110.4466765,44.81826349
4316,4316.1,4316.1.79,center,623591,4999331,UTM Zone 12,NAD83,9446,2005,2885,35,342,0,Custer Gallatin,6,-109.4281497,45.13663715
4316,4316.5,4316.5.85,center,623562,4999307,UTM Zone 12,NAD83,9459,2005,2883,35,341,0,Custer Gallatin,8,-109.4285243,45.13642627
4361,4361.5,4361.5.41,center,611565,4961430,UTM Zone 12,NAD83,9643,2004,2938,18,16,1,Shoshone,20,-109.5894348,44.79755981
4433,4433.1,4433.1.100,center,628981,4991345,UTM Zone 12,NAD83,9597,2005,2925,11,125,0,Custer Gallatin,234,-109.3616832,45.06381461
4565,4565.1,4565.1.13,center,470354,4958755,UTM Zone 12,NAD83,8416,2004,2562,12,300,0,Custer Gallatin,10,-111.3747242,44.78157584
4742,4742.1,4742.1.65,center,630411,4979108,UTM Zone 12,NAD83,9308,2005,2837,20,269,0,Shoshone,39,-109.3466984,44.95344225
4897,4897.1,4897.1.38,center,629628,4974926,UTM Zone 12,NAD83,9498,2005,2895,6,177,0,Shoshone,108,-109.3576941,44.91595451
5031,5031.1,5031.1.201,center,465556,4971799,UTM Zone 12,NAD83,9206,2005,2806,11,155,0,Custer Gallatin,16,-111.4362543,44.89878179
5125,5125.1,5125.1.61,center,554923,4947965,UTM Zone 12,NAD83,8544,2006,2604,22,174,1,Yellowstone,14,-110.3069545,44.68295244
5446,5446.2,5446.2.41,center,428650,4961073,UTM Zone 12,NAD83,8285,2005,2525,10,192,0,Beaverhead-Deerlodge,3,-111.9021399,44.7994946
5446,5446.5,5446.5.43,center,428855,4961290,UTM Zone 12,NAD83,8412,2005,2564,5,197,0,Beaverhead-Deerlodge,7,-111.8995786,44.80146829
5642,5642.1,5642.1.30,center,462133,4933373,UTM Zone 12,NAD83,8967,2005,2691,10,181,0,Beaverhead-Deerlodge,29,-111.4767575,44.55269529
5653,5653.1,5653.1.38,center,418578,4929139,UTM Zone 12,NAD83,8878,2005,2706,7,117,0,Caribou-Targhee,8,-112.0243963,44.51097897
5653,5653.4,5653.4.44,center,418933,4928564,UTM Zone 12,NAD83,8685,2005,2647,4,119,0,Caribou-Targhee,6,-112.0198404,44.50584321
5656,5656.1,5656.1.53,center,463157,4931320,UTM Zone 12,NAD83,8842,2004,2695,18,57,1,Caribou-Targhee,11,-111.4637187,44.53426654
5661,5661.1,5661.1.286,center,603787,4931284,UTM Zone 12,NAD83,9016,2006,2748,29,7,1,Shoshone,14,-109.693856,44.52741478
5674,5674.2,5674.2.69,center,594432,4930782,UTM Zone 12,NAD83,8990,2007,2740,39,214,1,Shoshone,17,-109.8116527,44.52418201
5739,5739.3,5739.3.10,center,640364,4866783,UTM Zone 12,NAD83,10191,2005,3106,18,159,0,Shoshone,8,-109.2510093,43.94078644
5739,5739.4,5739.4.5,center,640431,4866720,UTM Zone 12,NAD83,10135,2005,3089,7,72,0,Shoshone,13,-109.2501915,43.94020669
5741,5741.5,5741.5.93,center,632179,4865227,UTM Zone 12,NAD83,9597,2005,2925,9,213,0,Shoshone,2,-109.3533412,43.92829793
5743,5743.3,5743.3.78,center,637339,4865452,UTM Zone 12,NAD83,10220,2005,3115,16,133,0,Shoshone,44,-109.2890288,43.9293786
5743,5743.4,5743.4.52,center,637396,4865358,UTM Zone 12,NAD83,10125,2005,3086,9,132,0,Shoshone,15,-109.2883432,43.928522
5756,5756.3,5756.3.37,center,639293,4861537,UTM Zone 12,NAD83,10020,2005,3054,28,40,0,Shoshone,2,-109.2657205,43.89377848
5861,5861.1,5861.1.914,center,580907,4921526,UTM Zone 12,NAD83,10004,2006,3049,17,178,1,Shoshone,33,-109.9832728,44.44250974
5896,5896.3,5896.3.73,center,525733,4919303,UTM Zone 12,NAD83,8508,2004,2591,14,226,1,Yellowstone,30,-110.6767109,44.42656436
5907,5907.1,5907.1.100,center,580617,4918756,UTM Zone 12,NAD83,8918,2004,2720,22,30,1,Shoshone,4,-109.9873472,44.41760819
5940,5940.2,5940.2.37,center,642352,4850647,UTM Zone 12,NAD83,9813,2005,2991,19,137,0,Shoshone,34,-109.230552,43.79519023
5940,5940.3,5940.3.43,center,642318,4850847,UTM Zone 12,NAD83,9810,2005,2990,32,57,0,Shoshone,69,-109.2309213,43.79699668
5952,5952.1,5952.1.208,center,592382,4916743,UTM Zone 12,NAD83,9111,2006,2777,25,189,1,Shoshone,42,-109.8399502,44.39808347
5981,5981.1,5981.1.282,center,611472,4915766,UTM Zone 12,NAD83,10119,2006,3084,22,270,1,Shoshone,15,-109.6005098,44.38660455
6009,6009.2,6009.2.20,center,624706,4848732,UTM Zone 12,NAD83,10224,2005,3116,18,271,0,Shoshone,8,-109.450254,43.78113929
6061,6061.1,6061.1.11,center,627822,4848265,UTM Zone 12,NAD83,9590,2005,2923,31,86,0,Shoshone,17,-109.4116567,43.77640455
6122,6122.5,6122.5.75,center,564771,4911107,UTM Zone 12,NAD83,8685,2004,2647,20,194,1,Yellowstone,26,-110.1873241,44.35034316
6124,6124.1,6124.1.39,center,614768,4846910,UTM Zone 12,NAD83,8918,2005,2718,19,91,0,Shoshone,48,-109.5741059,43.76634708
6264,6264.2,6264.2.252,center,521522,4905730,UTM Zone 12,NAD83,8603,2006,2622,1,0,1,Yellowstone,93,-110.7301754,44.30450642
6438,6438.5,6438.5.10,center,538722,4901461,UTM Zone 12,NAD83,8527,2004,2599,18,117,1,Yellowstone,13,-110.5148588,44.26536086
6504,6504.1,6504.1.25,center,623430,4843563,UTM Zone 12,NAD83,9364,2005,2854,10,293,0,Shoshone,8,-109.4672938,43.73482875
6507,6507.1,6507.1.15,center,630522,4843649,UTM Zone 12,NAD83,10096,2005,3077,18,154,0,Shoshone,51,-109.379241,43.73438812
6532,6532.1,6532.1.29,center,629960,4843293,UTM Zone 12,NAD83,10338,2005,3151,20,127,0,Shoshone,45,-109.386303,43.73128272
6707,6707.3,6707.3.284,center,587798,4896430,UTM Zone 12,NAD83,9715,2006,2961,30,133,1,Bridger-Teton,23,-109.9009186,44.21580892
6949,6949.1,6949.1.86,center,575944,4891481,UTM Zone 12,NAD83,9226,2004,2812,30,305,1,Yellowstone,8,-110.0500047,44.17258946
7019,7019.1,7019.1.10,center,585853,4839988,UTM Zone 12,NAD83,9643,2005,2939,14,253,0,Shoshone,52,-109.9343841,43.70794987
7019,7019.2,7019.2.163,center,585890,4840020,UTM Zone 12,NAD83,9676,2005,2949,11,265,0,Shoshone,116,-109.9339198,43.70823366
7154,7154.1,7154.1.13,center,586735,4839018,UTM Zone 12,NAD83,9367,2005,2855,34,166,0,Shoshone,90,-109.9235948,43.69911498
7154,7154.2,7154.2.55,center,586661,4838939,UTM Zone 12,NAD83,9289,2005,2835,22,161,0,Shoshone,56,-109.9245257,43.69841243
7336,7336.1,7336.1.34,center,602323,4837191,UTM Zone 12,NAD83,9098,2005,2772,6,152,0,Shoshone,63,-109.7305337,43.68068353
7336,7336.5,7336.5.60,center,602408,4837294,UTM Zone 12,NAD83,9101,2005,2774,4,144,0,Shoshone,106,-109.7294598,43.681599
7443,7443.3,7443.3.220,center,558709,4880606,UTM Zone 12,NAD83,8344,2006,2543,14,255,1,Bridger-Teton,25,-110.2667919,44.07627584
7495,7495.1,7495.1.958,center,530954,4878733,UTM Zone 12,NAD83,8622,2004,2621,30,191,1,Bridger-Teton,3,-110.6135185,44.06111151
7676,7676.1,7676.1.15,center,593449,4821105,UTM Zone 12,NAD83,9197,2005,2803,6,306,0,Shoshone,99,-109.8433839,43.53704235
7724,7724.1,7724.1.68,center,621256,4870826,UTM Zone 12,NAD83,9620,2007,2932,19,65,1,Shoshone,35,-109.4880914,43.98057108
7725,7725.1,7725.1.64,center,622767,4870707,UTM Zone 12,NAD83,10250,2007,3124,22,264,1,Shoshone,3,-109.4692853,43.97924923
7980,7980.1,7980.1.63,center,579209,4862724,UTM Zone 12,NAD83,10365,2006,3159,20,313,1,Bridger-Teton,13,-110.0134739,43.91336918
